Unix time,price (FIAT),amount traded (FIAT)
1365735484000,1091.956111111111,41068.254583
1368634636000,708.4899999999997,48942.89774899999
1371914704000,710.2200000000001,43125.99202899999
1374612220000,564.1253448275862,78450.25629499998
1377277149000,652.3219565217391,167211.06102699996
1380123905000,828.4441791044774,238641.55456089252
1382768107000,971.8674647887326,224120.28022500002
1385397581000,2508.083387096774,806372.1480217618
1388049859000,5941.691632653058,1065934.56144453
1390733940000,5615.748651162783,598696.9965540005
1393362858000,4938.008097826086,358825.340541
1396024300000,3919.2266883116877,342044.225004631
1398653535000,2986.949210526314,401972.0651226271
1401287351000,2980.5919780219765,363368.60524100024
1403919876000,3869.4800581395325,467892.96191199956
1406570614000,3975.417283236992,513037.749472
1409223584000,3520.251592920353,581711.3581499996
1411873845000,3069.618325991189,521637.6874790005
1414522723000,2539.8183552631567,614904.543032
1417158050000,2541.9972909699,700769.623388
1419786847000,2675.910584615385,711903.9250659999
1422415159000,2129.5970359281437,592270.2120159997
1425052587000,1910.095824468085,839841.3612500004
1427681786000,2290.2883211678845,603265.3638769999
1430323780000,1964.492023460412,752953.1491729997
1432953772000,1901.34489010989,852487.323263
1435606160000,1969.983693931399,835918.1383830006
1438240092000,2374.816297169811,1185559.0644529997
1440873869000,2251.951533018868,1214092.445610001
1443510201000,2062.34112195122,1087272.5112319996
1446146062000,2251.23803611738,994129.3943129999
1448775310000,3168.2577924528287,1377885.0552189997
1451427778000,3737.3866938110714,1839196.4434759982
1454059900000,3842.8775939849606,1798313.883331001
1456689227000,3569.4677631578925,1418590.0568830005
1459321271000,3669.6376070901024,2145762.1589220017
1461950266000,3654.4657812500036,2804144.6486579995
1464584821000,3817.621241743727,2271553.933364003
1467212822000,5393.182918410049,3670819.7952999985
1469841815000,5801.191664698942,2716241.4261980033
1472491093000,5011.544755168667,2658844.509556001
1475119346000,5124.336079766538,2929291.141664004
1477754939000,5379.955330700886,3192416.4118040004
1480385215000,6323.6217770326875,4521233.318402997
1483022061000,7000.676744574287,4277706.100480004
1485650209000,8123.058149405758,4490864.211673003
1488313867000,8993.195157318749,5594627.190463009
1490942133000,10332.621694695963,6422092.229555034
1493575118000,10726.105144804076,4915919.730355327
1496204046000,17125.269430535118,13741905.030339917
1498832159000,22781.296610243044,18642975.081101745
1501461590000,20884.849372093064,4772654.748607969
