Unix time,price (FIAT),amount traded (FIAT)
1365711495000,740.9794285714287,82564.83612100001
1368373993000,1063.8059999999998,49284.82705299999
1371064945000,858.2306666666665,18412.436022
1374091478000,694.692162162162,66977.802168
1376772678000,713.9929310344827,142966.43906599996
1379426507000,862.6094736842108,216003.9020110001
1382068167000,874.9420300751879,287903.3572512501
1384710111000,1911.7308333333324,225097.30789620194
1387396050000,5969.1816326530625,624138.0080269729
1390026548000,5459.138239436621,882640.6179201952
1392681027000,5377.303624595469,674372.6059919999
1395320472000,4112.542535211265,616204.6489700975
1397956371000,3310.648210526314,746802.2759450122
1400616580000,3126.658279816513,651972.3798059766
1403248326000,4123.851548387102,1188419.5010499994
1405881339000,4371.100209205026,1250151.8421269986
1408509929000,4143.659307787395,1397296.436612
1411143895000,3610.345300240202,1795741.7110289985
1413773748000,3075.0244363839256,2231387.969827
1416417638000,2897.503667117731,1930777.4559970014
1419045995000,2856.8719407894705,2038737.0704610012
1421684947000,2409.14864004991,2120502.712100999
1424313073000,2073.330355521936,3516411.894269008
1426948888000,2387.5892687523483,3934774.800161008
1429577042000,2242.497882259976,3257059.852675003
1432206868000,2096.818140510311,4376713.296242998
1434835271000,2086.6356243822056,4297800.895941005
1437464133000,2340.540747690526,4953147.0732870065
1440092597000,2478.2233463502553,5122682.610251004
1442720931000,2073.6780327868837,4791845.354096003
1445351160000,2120.9611706135615,5535329.222667005
1447979255000,2990.8454524829813,6693662.295602007
1450607574000,3484.2675452459835,6440470.458097
1453235640000,3873.71753926702,6024226.667474994
1455864306000,3519.1198476273566,7843101.279148001
1458495065000,3723.4914696205315,7790584.218019997
1461123322000,3597.140024927272,8187033.53541999
1463751874000,3827.1443241091124,9096684.01238401
1466379927000,4914.91478687881,9849888.572774995
1469008091000,5921.495468782208,9182104.327535994
1471636379000,5478.393037099155,8579352.928158997
1474266630000,5215.796512572542,9434266.012698991
1476895961000,5486.713401408465,9588680.892489998
1479523990000,6506.108780533324,9726540.241325976
1482155362000,7347.853283369038,10046692.566887025
1484783648000,8685.816031114931,13279588.52455898
1487411736000,9021.074231625867,10510849.802101925
1490041444000,11046.800994740093,12825185.548120847
1492669947000,10621.472678295784,12442558.306701936
1495298215000,14378.913629188452,13517984.23160304
1497927165000,22843.930414122653,20670431.88064469
1500557953000,22450.170333499213,13501647.849977164
