Unix time,price (FIAT),amount traded (FIAT)
1369011202000,737.2866666666665,4347.755676
1378411458000,664.73,14815.018072
1381084186000,745.3436363636364,15713.826792
1383839860000,1090.32625,22987.531417
1386535702000,4416.544,36578.134214000005
1389216760000,5022.768148148147,36225.62100800001
1391893896000,4841.837857142857,38301.743888
1394649749000,4442.081250000002,37820.761491
1397697767000,3074.3232692307697,103823.28315101797
1400781965000,2592.6196875,59354.490391129
1403477404000,3493.5656249999997,72432.347847
1406224703000,3508.6196666666665,31956.120609
1408936256000,3409.864634146342,32472.974772999998
1411659100000,2989.671612903225,77499.46600900001
1414692982000,2319.701666666666,28584.940853
1417453427000,2455.07125,2458.4398380000002
1420615434000,2166.6225,10587.294302999997
1423883560000,1702.3344444444447,3239.9993489999993
1426833475000,2043.4722222222222,9715.006899
1429484050000,1897.1942857142858,48125.984026999984
1432247093000,1772.1264150943396,44117.654358
1434932452000,1763.513773584906,39796.542447
1437604915000,2007.436813186813,58582.44999900001
1440285156000,2022.1357281553408,152846.74304200002
1442948963000,1822.4561165048542,64222.106977
1445632620000,1835.6211184210533,117054.38706299997
1448287060000,2527.7742364532032,161412.3135679999
1450926531000,2984.21545945946,162437.9684399999
1453599112000,3083.3252352941186,169961.65249399998
1456353496000,2786.01838509317,188092.80363399995
1459052401000,2982.429523809526,186982.62271699996
1461710509000,2967.1472327044035,174520.92060799993
1464397538000,3143.136320754717,134696.60775900004
1467076088000,4330.009902439023,233335.045252
1469745487000,4794.49,252945.96982199998
1472419653000,3976.2007865168557,258856.2969009999
1475094007000,4137.267734806632,187918.8221069999
1477763791000,4498.3523502304115,247910.8997680002
1480396277000,5227.108355263162,387319.87586699997
1483039483000,6019.993003533567,282611.2496759998
1485675748000,6841.597534246577,425257.36934700044
1488312461000,7676.345851851848,323206.13379499986
1490942988000,8334.854529411761,507904.13334951515
1493572102000,8973.849892473123,343017.20005478227
1496208945000,14175.299128065417,1077308.6197495419
1498841145000,18703.48287569576,1204475.6203162363
1501469822000,17239.38895522388,1190029.8607759774
1504120397000,24123.105158730166,379357.41083378403
